,link,legislatura,date,type
159,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_160.PDF,III,1988-12-15,diaro de sesiones
160,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_161.PDF,III,1988-12-20,diaro de sesiones
161,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_162.PDF,III,1988-12-21,diaro de sesiones
162,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_163.PDF,III,1988-12-22,diaro de sesiones
163,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_164.PDF,III,1988-12-28,diaro de sesiones
164,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_165.PDF,III,1989-02-01,diaro de sesiones
165,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_166.PDF,III,1989-02-14,diaro de sesiones
166,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_167.PDF,III,1989-02-15,diaro de sesiones
167,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_168.PDF,III,1989-02-21,diaro de sesiones
168,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_169.PDF,III,1989-02-22,diaro de sesiones
169,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_170.PDF,III,1989-02-23,diaro de sesiones
170,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_171.PDF,III,1989-02-28,diaro de sesiones
171,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_172.PDF,III,1989-03-01,diaro de sesiones
172,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_173.PDF,III,1989-03-02,diaro de sesiones
173,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_174.PDF,III,1989-03-07,diaro de sesiones
174,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_175.PDF,III,1989-03-08,diaro de sesiones
175,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_176.PDF,III,1989-03-09,diaro de sesiones
176,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_177.PDF,III,1989-03-14,diaro de sesiones
177,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_178.PDF,III,1989-03-15,diaro de sesiones
178,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_179.PDF,III,1989-03-16,diaro de sesiones
179,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_180.PDF,III,1989-04-04,diaro de sesiones
180,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_181.PDF,III,1989-04-05,diaro de sesiones
181,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_182.PDF,III,1989-04-06,diaro de sesiones
182,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_183.PDF,III,1989-04-11,diaro de sesiones
183,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_184.PDF,III,1989-04-12,diaro de sesiones
184,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_185.PDF,III,1989-04-13,diaro de sesiones
185,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_186.PDF,III,1989-04-18,diaro de sesiones
186,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_187.PDF,III,1989-04-19,diaro de sesiones
187,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_188.PDF,III,1989-04-20,diaro de sesiones
188,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_189.PDF,III,1989-04-25,diaro de sesiones
189,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_190.PDF,III,1989-04-26,diaro de sesiones
190,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_191.PDF,III,1989-04-27,diaro de sesiones
191,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_192.PDF,III,1989-05-09,diaro de sesiones
192,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_193.PDF,III,1989-05-10,diaro de sesiones
193,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_194.PDF,III,1989-05-11,diaro de sesiones
194,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_195.PDF,III,1989-05-23,diaro de sesiones
195,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_196.PDF,III,1989-05-24,diaro de sesiones
196,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_197.PDF,III,1989-05-30,diaro de sesiones
197,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_198.PDF,III,1989-05-31,diaro de sesiones
198,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_199.PDF,III,1989-06-01,diaro de sesiones
199,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_200.PDF,III,1989-06-20,diaro de sesiones
200,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_201.PDF,III,1989-06-21,diaro de sesiones
201,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_202.PDF,III,1989-06-22,diaro de sesiones
202,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_203.PDF,III,1989-06-27,diaro de sesiones
203,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_204.PDF,III,1989-06-28,diaro de sesiones
204,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_205.PDF,III,1989-06-29,diaro de sesiones
205,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_206.PDF,III,1989-07-12,diaro de sesiones
206,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_207.PDF,III,1989-07-13,diaro de sesiones
207,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_208.PDF,III,1989-11-20,diaro de sesiones
208,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_201.PDF,III,1989-06-21,diaro de sesiones
209,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_202.PDF,III,1989-06-22,diaro de sesiones
210,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_203.PDF,III,1989-06-27,diaro de sesiones
211,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_204.PDF,III,1989-06-28,diaro de sesiones
212,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_205.PDF,III,1989-06-29,diaro de sesiones
213,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_206.PDF,III,1989-07-12,diaro de sesiones
214,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_207.PDF,III,1989-07-13,diaro de sesiones
215,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_208.PDF,III,1989-11-20,diaro de sesiones
216,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_001.PDF,IV,1989-11-21,diaro de sesiones
217,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_002.PDF,IV,1989-12-04,diaro de sesiones
218,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_003.PDF,IV,1989-12-05,diaro de sesiones
219,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_004.PDF,IV,1989-12-06,diaro de sesiones
220,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_005.PDF,IV,1989-12-12,diaro de sesiones
221,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_006.PDF,IV,1989-12-20,diaro de sesiones
222,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_007.PDF,IV,1989-12-21,diaro de sesiones
223,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_008.PDF,IV,1990-01-10,diaro de sesiones
224,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_009.PDF,IV,1990-01-17,diaro de sesiones
225,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_010.PDF,IV,1990-02-01,diaro de sesiones
226,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_011.PDF,IV,1990-02-06,diaro de sesiones
227,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_012.PDF,IV,1990-02-07,diaro de sesiones
228,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_013.PDF,IV,1990-02-08,diaro de sesiones
229,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_014.PDF,IV,1990-02-13,diaro de sesiones
230,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_015.PDF,IV,1990-02-14,diaro de sesiones
231,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_016.PDF,IV,1990-02-15,diaro de sesiones
232,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_017.PDF,IV,1990-02-20,diaro de sesiones
233,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_018.PDF,IV,1990-02-21,diaro de sesiones
234,https://www.congreso.es/public_oficiales/L4/CONG/DS/PL/PL_019.PDF,IV,1990-02-22,diaro de sesiones
